Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
267,kishanm05,14,Tourist,"Jaipur, India.",2,67.92656803,311.8131528,140,0.000718391
268,Patton_Yu,13,Resident,UK,2,1340.03088,2340.001249,55,
269,soulamit,13,Resident,New Delhi India,1,82.61720215,413.151446,49,1.651639344
270,stiryoursouls,13,Resident,New Delhi,1,1386.419107,2712.379457,495,2.088319088
271,mlpindia,13,Resident,"East of Kailash, New Delhi",1,17.92554971,65.75295645,6,14.14285714
272,finelineartacad,13,Resident,"New Delhi, India",1,142.7875263,328.8373577,10,0.239130435
273,unsaidwords_19,13,Resident,New Delhi India,1,94.11892741,827.0258935,148,7.376205788
274,Rexyadav1,13,Resident,"New Delhi, India",1,25.53015556,131.4039409,6,3.255319149
275,The_Kushwaha,12,Resident,"Delhi, India",1,192.8755911,1250.898884,9,2.494117647
276,Haritikajewelry,12,Tourist,"India, Delhi",1,268.0222842,1778.397938,17,0.198156682
277,Modran_News,12,Tourist,"Modran, Jalor, India",2,41.54535036,133.3828269,232,0.000536193
278,thevirat1993,12,Tourist,Kanpur Uttar Pradesh,2,97.70909876,663.8860595,214,0.003929273
279,9lRmwPFsBjoNtU1,12,Tourist,"Rajasthan, India",2,3.712106594,19.285364,2,
280,sandeep20012,12,Tourist,new delhi,1,41.52390766,264.5853709,10,0.007194245
281,royyhenderson,12,None,New Delhi,1,157.252007,394.799081,47,0.046875
282,PlateOfDelight,11,Resident,"New Delhi, India",1,269.9151187,767.7989726,29,3.022222222
283,Sabri__Brothers,11,Resident,India,1,96.79962229,283.4587695,67,6.024096386
284,bond007bitcoin,11,Tourist,"New Delhi, India",1,3339.978856,5200.255955,84,0.4
285,vipuksh,10,None,"Gurgaon, IN",1,232.1239491,1219.020578,30,0.022222222
286,AneeshKalsi,10,Tourist,new delhi,1,618.6565169,2136.036242,90,0.661676647
287,Pro_India_News,10,Tourist,India,1,2979.640411,3779.012207,888,0.249385749
288,Yadunandan95,10,Resident,"Shastri Nagar, New Delhi",1,16.63178299,88.51447825,4,
289,krishnastudioB1,10,Resident,India,1,45.53015475,182.0326685,2,16
290,geolocationms,9,None,"Warsaw, Poland",2,4439.836732,5876.989856,1586,
291,ItsKulluSingh,9,Resident,"New Delhi, India",1,0.181701904,0.620137396,0,
292,Parammlp,9,Resident,"New Delhi, India",1,153.30414,1024.912502,80,4.228813559
293,PaulTusharK,9,Resident,Delhi,1,63.67832541,134.6860906,31,1.154761905
294,Prerna98765,9,Resident,"New Delhi, India",1,12.04520732,69.83801617,4,41.66666667
295,KashyapClinic,9,Resident,"New Delhi, India",1,0,0,0,
296,Darshanroy142,9,Tourist,"Wazirpur Industrial Area, New ",1,229.6993341,1185.104896,60,0.208877285
297,dongsong3457,9,None,Vatican City,2,300.0096127,1414.748613,40,
298,parvezrockstar,9,Tourist,"New Delhi, India",1,164.4181689,737.5357832,4,1.181818182
299,shwetadas9560,9,Tourist,New delhi,1,4.795146649,4.53554119,0,0.866666667
300,Krimzon_Koz,9,Tourist,New Delhi,1,47.99767659,564.6913102,45,1.232902033
301,GetNailed5,9,Tourist,Vikaspuri,2,0.007316348,0.078514262,0,
302,mymwholesale,9,None,Delhi,,0.000159565,0.002250941,0,0.866666667
303,cityabbasdhoni,8,Tourist,india,1,458.1570344,519.389159,41,1.347560976
304,Chandra33717075,8,Resident,new Delhi India,1,37.91630923,138.6337523,36,0.011303191
305,propertywala,8,Tourist,India,2,793.6052226,620.4565559,2292,0.021337127
306,SuryaTi37017221,8,Tourist,india,2,1940.723786,2616.484956,512,0.625678119
307,the_foodie_dad,8,Tourist,"Faridabad, India",1,170.2179803,857.31359,161,
308,libereo,8,Resident,Faridabad (Delhi NCR),1,0.097497639,0.462410293,0,
